"Crs.Name","Title","Sections.Offered","Terms.w.Sect","avg.Enroll","avg.Cap"
"ENG-330","African American Literature",1,1,20,25
"ENG-330","Sem: African American Lit",1,1,22,25
"ENG-332","Adrienne Rich",2,2,9,25
"ENG-332","Seminar: Adrienne Rich",1,1,29,25
"ENG-333","Hemingway & Faulkner",1,1,20,25
"ENG-335","American Renaissance",1,1,27,25
"ENG-337","American Peotry and Poetics",1,1,4,25
"ENG-338","Postmodern Literature",2,2,12.5,25
"ENG-344","Author Seminar: Thoreau",1,1,14,20
"ENG-345","Advanced Poetry Writing Worksh",4,4,9,18
"ENG-346","Advanced Fiction Writing Wkshp",7,5,10.29,18
"ENG-347","Adv Creat Nonfiction Writ Wksp",4,4,11.5,18
"ENG-490","Literary Research Practicum",1,1,2,10
"ENG-496","Creative Writing Capstone Sem",7,7,5,15.43
"ENG-498","Senior Thesis Seminar in Lit",7,7,6,25
"ENV-151","Intro to Human Geography",4,4,23.25,31.5
"ENV-160","Environmental Science I",5,5,28.8,27.6
"ENV-160","Physical Environmental Systems",2,2,26,25
"ENV-160L","Environmental Science I Lab",10,5,14,13.8
"ENV-160L","Phys Env Systems Laboratory",2,1,13.5,13
"ENV-200","Nature & Culture",6,5,36,39.67
"ENV-200","Nature and Culture",2,2,23,24.5
"ENV-260","Biological Env Interactions",3,3,15,20.67
"ENV-260","Environmental Science II",5,5,15.6,18.8
"ENV-260L","Env Interactions Laboratory",5,3,9,12.4
"ENV-260L","Environmental Science II Lab",6,5,13,15.67
"ENV-330","Working Landscapes",1,1,5,20
"ENV-350","Int Geographic Info Sys (GIS)",7,5,15.14,14
"ENV-350L","Int Geographic Info Syst Lab",8,5,10.5,9.88
"ENV-355","Urban Geography",1,1,5,25
"ENV-357","Applied Cartography",1,1,5,30
"ENV-389","Scotland Abroad Prep",2,2,9.5,10
"ENV-399T.1","Slow Food in Italy",1,1,9,12
"ENV-402","Senior Capstone",7,7,11.86,23.43
"ENV-499T","ST: Advanced GIS",1,1,5,25
"ENV-499T","Sp Tps: Advanced Gis",1,1,3,25
"ESL-101","English As a Second Language I",7,7,5.14,10.71
"ESL-102","English As Second Language II",2,2,7.5,10
"FRE-101","French Language & Culture I",6,3,11,20
"FRE-101","French Language and Culture I",6,3,10,20
"FRE-101","French Language& Culture I",4,2,15,20
"FRE-101REV","French Gramm& Phonetics Review",5,5,6.2,21
"FRE-102","French Language & Culture II",4,3,9.75,20
"FRE-102","French Language and Culture II",4,2,9,20
"FRE-102","French Language& Culture II",4,2,10,20
"FRE-201","French Language& Civ III",6,6,5.67,20
"FRE-201","French Language& Culture III",2,2,7.5,20
"FRE-202","French Language & Culture IV",3,3,6.67,20
"FRE-202","French Language and Culture IV",2,2,5.5,20
"FRE-202","French Language& Culture IV",2,2,8,20
"FRE-299","Intermed Readings in French",2,2,7,20
"FRE-301","French Comp & Conversation",5,5,3.6,20
"FRE-301","French Comp & Conversation I",3,3,5.33,20
"FRE-302","French Comp & Conversation",3,3,4,20
"FRE-302","French Comp & Conversation II",1,1,5,20
"FRE-302","French Comp& Conversation II",2,2,5,20
"FRE-333","French & Francophone Lit",2,2,4,15
"FYS-101","Education, School & Care Ethic",1,1,15,15
"FYS-101","FYS: Betwixt and Between",1,1,16,18
"FYS-101","FYS: Eat, Read, Be",1,1,16,18
"FYS-101","FYS: Food for Thought",2,1,19,18
"FYS-101","FYS: Guns & Violence in U.S.",1,1,19,18
"FYS-101","FYS: Language-A User's Guide",2,1,18.5,18
"FYS-101","FYS: Language: a User's Guide",2,1,6,18
"FYS-101","FYS: Media Literacy",1,1,14,18
"FYS-101","FYS: Migration & Identity",3,2,15,13.33
"FYS-101","FYS: Migration and Identity",1,1,12,18
"FYS-101","FYS: Monsters Under Your Bed",2,1,16.5,18
"FYS-101","FYS: Plato's Republic",1,1,15,18
"FYS-101","FYS: Politcal Ideology & Arg",1,1,17,18
"FYS-101","FYS: Psychology for Life",2,2,17.5,18
"FYS-101","FYS: Reading & Writing Sport",2,2,22.5,18
"FYS-101","FYS: Reading America",2,1,11,13
"FYS-101","FYS: The News Comes to You",3,3,18,18
"FYS-101","FYS: Travel Writing",3,3,17,18
"FYS-101","FYS: War and Humanity",2,1,17.5,18
"FYS-101","FYS: Women in American West",2,1,17,18
"FYS-101","FYS:Attachment & Developement",1,1,17,18
"FYS-101","FYS:Betwixt and Between",1,1,13,18
"FYS-101","FYS:Education,School & Ethics",1,1,16,18
"FYS-101","FYS:Human Rights&Soc Activism",2,1,12,18
"FYS-101","FYS:Plato's Republic",1,1,14,18
"FYS-101","FYS:Reading & Writing Sport",1,1,14,18
"FYS-101","First-Year Seminar",65,11,15.34,17.23
"FYS-101","Food for Thought",2,1,14.5,15
"FYS-101","Islam & Black Lives in America",2,1,13.5,15
"FYS-101","Migration and Identity",1,1,14,15
"FYS-101","Que Viva la Chica Latina!",1,1,13,15
"FYS-101","Reading and Writing Sport",1,1,15,15
"FYS-101","The News Comes to You",1,1,15,15
"FYS-101","Travel Writing",1,1,15,15
"FYS-101","Women in the American West",3,1,14,15
"FYS-110","First-Yr Seminar-Gipson Fellow",5,5,12.2,20
"GEO-101","Physical Geology",8,8,19.38,23.25
"GEO-101L","Physical Geology Lab",12,8,12.92,14.33
"GEO-150","Physical Geography",4,4,24.5,25.75
"GEO-310","Earth's Dynamic Climate System",3,3,9,29.33
"GEO-320","Watershed Hydrology",2,2,9.5,28
"GEO-410","Geomorphology",1,1,2,14
"GEO-410L","Geomorphology Laboratory",1,1,2,14
"GER-121","German Language & Culture I",2,1,5,20
"GER-121","German Language& Culture I",4,2,9,20
"GER-121REV","German Gramm& Phonetics Review",3,3,4.33,20
"GER-122","German Language & Culture II",2,1,3,20
"GER-122","German Language& Culture II",4,2,6,20
"GER-201","German Lang & Civilization III",2,2,4.5,20
"GER-201","German Language& Culture III",2,2,3,20
"GER-202","German Language & Culture IV",2,2,5.5,20
"GER-202","German Language& Culture IV",2,2,3,20
"GER-299","Intermed Readings in German",2,2,3.5,17.5
"GER-301","German Comp & Conversation",1,1,4,20
"GER-301","German Comp & Conversation I",2,2,4,20
"GER-302","German Comp& Conversation",1,1,4,20
"GER-302","German Comp& Conversation II",2,2,4,20
"GOG-199T","ST: Intro to Human Geography",1,1,23,24
"HHP-102","First Aid & CPR",11,5,17.55,19.27
"HHP-106","Intro to Human A & P",7,7,31,33.71
"HHP-106L","Intro to Human A & P Lab",14,7,15.71,17.86
"HHP-151","Personal Fitness",14,13,21.64,32.64
"HHP-151","Personal Fitness-1st 6 WKS",2,2,14,30
"HHP-170","Team Sports Skills",10,8,23.9,28.2
"HHP-171","Lifetime/Leisure Activities",10,7,25.3,25
"HHP-200","Foundations/Physical Education",4,4,26.75,38.75
"HHP-202","Sports Officiating",9,7,28,31.56
"HHP-203","Human Health & Nutrition",2,2,37,35
"HHP-203","Human Health & Wellness",7,5,31,29.29
"HHP-210","Coaching Methods",7,7,28.43,29
"HHP-244","Care & Prevention of Injury",8,8,26.75,28.75
"HHP-280","Medical Terminology",1,1,12,12
"HHP-300","Applied Sport Psychology",7,7,33.14,32.14
"HHP-304","Motor Learning",7,7,32.57,31.43
"HHP-312","Health/Fitness& Exer Prescript",4,4,12,27.5
"HHP-312","Hlth Fitness & Exerc Prescript",4,2,30,30
"HHP-314","Research Methods in Kinesiolog",8,7,22.25,33.75
"HHP-317","Drug Use & Abuse",6,6,30.5,31.67
"HHP-318","Applied Nutrition",4,4,19.25,28.5
"HHP-318","Nutrition",2,2,32,30
"HHP-319","Mech Analysis of Sport",7,6,24,25.71
"HHP-319","Mechanical Analysis of Sport",4,2,27,30
"HHP-324","Managmnt/PE, Rec, & Athletics",2,2,11,25
"HHP-324","Mgmt of PE, Rec & Athletics",2,2,21.5,30
"HHP-328","Elem Curric Plan/Health& P E",5,4,7.8,23
"HHP-329","Second Curric Planning in P E",4,4,6.75,21.25
"HHP-343","Physiology of Exercise",7,5,11.14,24.14
"HHP-343","Physiology of Exercise I",3,3,22,24.67
"HHP-343L","Physiology of Exercise I Lab",7,3,9.43,10.57
"HHP-343L","Physiology of Exercise Lab",10,5,5.7,11.7
"HHP-350","Org& Admin School Health Progr",2,2,2,25
"HHP-351","Instructional Method in Health",4,4,5.5,25
"HHP-408","Adult Fitness Programming",7,5,4,20
"HHP-410","Exercise Metabolism",7,5,7.71,21.43
"HHP-410L","Exercise Metabolism Lab",1,1,11,12
"HHP-411","Cardiopulmonary Physiology",4,3,6,20
"HHP-424","Stress Test& ECG Interpretatn",2,2,6.5,25
"HHP-434","Adapted Physical Education",4,4,16,28.75
"HHP-496","Collaborative Research",3,3,4,9.33
"HHP-497","Physical Therapy Clinical",1,1,2,2
"HHP-498","Sport Science Seminar",7,7,9.86,21.43
"HHP-499","Health Sciences Seminar",9,9,17.56,20.22
"HHPA-100","Varsity Athletics Basketball",1,1,1,25
"HHPA-100","Varsity Athletics Mens Soccer",1,1,4,25
"HHPA-100","Varsity Athletics: Baseball",2,2,3,25
"HHPA-100","Varsity Athletics: Basketball",1,1,2,25
"HHPA-100","Varsity Athletics: Cheer",1,1,1,25
"HHPA-100","Varsity Athletics: Football",3,3,5,25
"HHPA-100","Varsity Athletics: Golf",1,1,4,25
"HHPA-100","Varsity Athletics: M Lacrosse",1,1,4,25
"HHPA-100","Varsity Athletics: Men's Bball",1,1,1,25
"HHPA-100","Varsity Athletics: Men's Bsktb",1,1,3,25
"HHPA-100","Varsity Athletics: Men's Golf",2,2,1.5,25
"HHPA-100","Varsity Athletics: Mens Lacros",1,1,6,25
"HHPA-100","Varsity Athletics: Mens Soccer",2,2,1.5,25
"HHPA-100","Varsity Athletics: Ski",1,1,2,25
"HHPA-100","Varsity Athletics: Skiing",3,2,1,25
"HHPA-100","Varsity Athletics: Softball",3,3,1.67,25
"HHPA-100","Varsity Athletics: Swim",1,1,1,25
"HHPA-100","Varsity Athletics: Swimming",3,3,2.33,25
"HHPA-100","Varsity Athletics: Track",1,1,5,25
"HHPA-100","Varsity Athletics: Volleyball",3,3,2.67,25
"HHPA-100","Varsity Athletics: WBBall",1,1,2,25
"HHPA-100","Varsity Athletics: Wmn's Bball",1,1,2,25
"HHPA-100","Varsity Athletics: Wmn's Golf",1,1,1,25
"HHPA-100","Varsity Athletics: Wmn's Socce",1,1,2,25
"HHPA-100","Varsity Athletics: Wmns BBall",1,1,1,25
"HHPA-100","Varsity Athletics: Wmns Soccer",1,1,1,25
"HHPA-100","Varsity Athletics: Wms Soccer",1,1,4,25
"HHPA-100","Varsity Athletics:Baseball",1,1,7,25
"HHPA-100","Varsity Athletics:Basketball",1,1,1,25
"HHPA-100","Varsity Athletics:Football",1,1,2,25
"HHPA-100","Varsity Athletics:Golf",1,1,1,25
"HHPA-100","Varsity Athletics:Lacrosse",1,1,1,25
"HHPA-100","Varsity Athletics:Ski",1,1,3,25
"HHPA-100","Varsity Athletics:Softball",3,3,1.33,25
"HHPA-100","Varsity Athletics:Track",1,1,2,25
"HHPA-100","Varsity Athletics:Volleyball",1,1,2,25
"HHPA-100","Varsity Athletics:W Soccer",1,1,2,25
"HHPA-100","Varsity Athletics:W.Soccer",1,1,5,25
"HHPA-100","Varsity Athletics:baseball",1,1,2,25
"HHPA-100","Varsity Athletics:football",1,1,4,25
"HHPA-100","Varsity Athletics:wmn's Tennis",1,1,1,25
"HHPA-100","Varsity Track & Field",1,1,2,25
"HHPA-100","Vrsty Athletics: Mens Xcountry",1,1,1,25
"HHPA-100","Vrsy Athletics: Men's Lacross",1,1,3,25
"HHPA-100","Vsty Athletics: Men's O Track",1,1,4,25
"HHPA-100","Vsty Athletics: Wmn's O Track",1,1,3,25
"HHPA-102","Baseball Conditioning",1,1,1,5
"HHPA-102","Varsity Conditioning: Baseball",1,1,2,5
"HHPA-102","Varsity Conditioning: W Socce",1,1,3,5
"HHPA-102","Varsity Conditioning:Baseball",1,1,1,5
"HHPA-102","Varsity Conditioning:Football",1,1,1,5
"HHPA-102","Varsity Conditioning:Golf",2,2,1,5
"HHPA-102","Varsity Conditioning:Lacrosse",1,1,2,5
"HHPA-102","Varsity Conditioning:Softball",1,1,1,5
"HHPA-102","Varsity Conditioning:T & F",1,1,1,5
"HHPA-102","Varsity Conditioning:Tennis",1,1,1,5
"HHPA-102","Varsity Conditioning:Track",1,1,1,5
"HHPA-102","Varsity Conditioning:X-Countr",1,1,1,5
"HHPA-102","Varsity Conditioning:volleybal",1,1,3,5
"HHPA-102","Varsity Sports Cond: Softball",1,1,1,5
"HHPA-102","Varsity Sports Conditioning",1,1,1,5
"HHPA-102","Vrsty Conditioning: Football",1,1,4,5
"HHPA-102","Vrsty Sports Cndtng: Softball",1,1,1,5
"HHPA-102","Vrsty Sprts Cond: Football",1,1,2,5
"HHPA-102","Vrsty Sprts Cond: M.Basketball",1,1,1,5
"HHPA-102","Vsty Conditioning:Volleyball",1,1,1,5
"HHPA-102","Vsty Condting: Men's Bskball",1,1,2,5
"HHPA-102","Vsty Condting: Men's Golf",1,1,2,5
"HHPA-102","Vsty Condting: Men's Swimming",1,1,1,5
"HHPA-102","Vsty Condting: Softball",1,1,2,5
"HHPA-102","Vsty Condting: Volleyball",1,1,2,5
"HHPA-102","Vsty Condting: Wmn's Golf",1,1,1,5
"HHPA-102","Vsty Condting: Wmn's Soccer",1,1,1,5
"HHPA-102","Vsty Condting: Wmn's Swimming",1,1,2,5
"HHPA-102","Vsty Condtng: Wmn's X-Country",1,1,1,5
"HHPA-105","Archery",5,3,12.2,17.2
"HHPA-106","Fly Fishing",5,5,6.6,19
"HHPA-107","Fly Tying",1,1,10,25
"HHPA-108","Intro to Shooting Sports",1,1,3,25
"HHPA-108","Trap Shooting I",1,1,3,25
"HHPA-110","Rock Climbing I",4,3,7,9
"HHPA-112","Badminton",3,3,8.33,20
"HHPA-114","Tennis",1,1,10,12
"HHPA-114","Tennis I",3,3,5.33,20.67
"HHPA-120","Body Conditioning",1,1,2,25
"HHPA-122","Jog/Walk",5,5,4,29
"HHPA-124","Yoga",10,7,17.3,24.5
"HHPA-125","Weight Training",7,7,6.71,25
"HHPA-130","Boxing",2,2,6.5,25
"HHPA-130","Boxing I",5,5,13.2,24
"HHPA-132","Karate",1,1,4,20
"HHPA-132","Karate I",2,2,8,22.5
"HHPA-134","Self-Defense for Men I",3,3,4.67,25
"HHPA-136","Self-Defense for Women",2,2,9,25
"HHPA-136","Self-Defense for Women I",5,5,9,24
"HHPA-140","Ballet",1,1,11,25
"HHPA-140","Ballet I",2,2,9.5,25
"HHPA-142","Jazz Dance",1,1,8,25
"HHPA-142","Jazz Dance I",3,3,4,28.33
"HHPA-144","Rhythmic Skills",1,1,4,25
"HHPA-150","Swimming",1,1,9,25
"HHPA-150","Swimming I",3,3,5,20.67
"HHPA-152","Swim Conditioning",2,2,14,25
"HHPA-155","Scuba Diving",4,2,6.5,25
"HHPA-157","Kayaking",2,1,5,8
"HHPA-214","Tennis II",1,1,5,12
"HHPA-230","Boxing II",3,3,9.67,11.67
"HHPA-232","Karate II",1,1,1,25
"HHPA-234","Self-Defense for Men II",1,1,5,25
"HHPA-236","Self-Defense for Women II",2,2,6,22.5
"HHPA-242","Jazz Dance II",1,1,2,25
"HHPA-250","Swimming II",6,6,4.67,22.83
"HHPA-310","Wilderness First Responder",3,3,7.67,13
"HIS-110","Civilization: Western to 1000",9,5,30.11,35.11
"HIS-110","Western Civilization to 1000",4,3,50.5,56.5
"HIS-111","Civilization: Western to 1800",16,5,29.12,34.19
"HIS-111","Western Civilization to 1800",11,3,40.18,45.91
"HIS-112","Civilization: World to 1800",19,5,25.26,35.79
"HIS-112","World Civilizations to 1800",10,3,31.5,43.4
"HIS-199T","Gender & Sexuality: An Intro",1,1,29,25
"HIS-199T","Intro to Gender & Sexuality",2,2,10.5,24
"HIS-200","Intro/History of United States",7,7,47.86,48.29
"HIS-202","History & the Movies",2,2,29,30
"HIS-210","History of Modern East Asia",5,5,34.6,39.6
"HIS-220","History of Modern Europe",7,7,43.14,37.14
"HIS-221","Chinese Religions",1,1,17,24
"HIS-226","Hist of Modern Ideas-1890-2000",1,1,17,36
"HIS-230","History of Mod Latin America",5,5,27.6,37.6
"HIS-242","The History of Christianity",1,1,18,24
"HIS-244","Biblical Archaeology",2,2,11,30
"HIS-270","Writing History",1,1,9,24
"HIS-280","Historical Research Methods",1,1,9,24
"HIS-280","Historiography & Methods",3,3,18.33,40.67
"HIS-294","Early Modern Venice",1,1,1,5
"HIS-294","Economics and the Bible",1,1,1,5
"HIS-294","Researching History",1,1,1,5
"HIS-294","Roman Numismetics Study",1,1,1,5
"HIS-294","Survey of Ancient Rome",1,1,1,5
"HIS-294","Teaching the Holocaust",1,1,1,5
"HIS-300","The United States Since 1945",4,4,26.5,27
"HIS-301","History of American Ideas",3,3,27.33,24
"HIS-303","The Terror",2,2,11.5,19
"HIS-304","The American Westward Movement",3,3,42,28
"HIS-306","The American South Since 1865",2,2,29.5,24
"HIS-309","The American Civil War",4,4,76.25,43
"HIS-314","Tudor & Stuart England",1,1,22,24
"HIS-320","Ancient Latin Language&Lit I",4,4,9.5,24
"HIS-321","Ancient Latin Language& Lit II",3,3,4,26
"HIS-322","Latin Readings",5,4,2.8,11.4
"HIS-325","Ancient Greek Language& Lit I",3,3,9,24
"HIS-326","Ancient Greek Language& Lit II",3,3,4,24
"HIS-327","Greek Readings",3,3,3,17.67
"HIS-328","Mythology: Hist/Archaeology",2,2,17,24
"HIS-331","Ancient Greece",4,4,25,37
"HIS-332","Ancient Rome",4,4,25.75,30
"HIS-334","19 C Europe:Ind Natn&Disconte",1,1,15,24
"HIS-336","Europe, 1848-2001",1,1,11,24
"HIS-337","Modern Russia & the USSR",3,3,26.33,32
"HIS-338","Modern India",1,1,21,24
"HIS-339","Nazis & the Final Solution",3,3,87.67,48
"HIS-340","Pre-Modern Chinese History",3,3,17.67,26.33
"HIS-343","Relig& the State/Late Im China",1,1,4,13
"HIS-344","Medieval Europe",2,2,12.5,24
"HIS-345","Modern China",2,2,20.5,27
"HIS-346","Reformation of 16th Century",2,2,9,24
"HIS-347","18 C Europe:Fall of Old Regim",2,2,14,24
"HIS-348","20 C Europe:Trial of Modernit",1,1,6,24
"HIS-349","Mod European Intellectual Hist",2,2,7.5,24
"HIS-350","The British Empire 1756-1960",1,1,13,24
"HIS-352","England to 1688",2,2,20,24
"HIS-353","Modern Britain",1,1,12,24
"HIS-354","History of SE Asia",1,1,38,40
"HIS-356","The Body in History",1,1,7,15
"HIS-358","People's Republic of China",3,3,18,24.67
"HIS-359","Pre-Modern Japan",1,1,14,24
"HIS-360","Britain Emp. & World 1639-1851",1,1,15,24
"HIS-360","Britain, 1639-1832",1,1,6,24
"HIS-361","Britain & Its Empire 1832-2016",1,1,7,24
"HIS-361","Britain, 1832-2010",1,1,9,24
"HIS-363","The Rise of Christianity",3,3,12,28
"HIS-364","Jesus: History/Archaeology",3,3,18,24
"HIS-365","Jewish Experience in Film",1,1,10,24
"HIS-367","History of Jewish Art",1,1,14,24
"HIS-368","Jewish History",3,3,36.33,24
"HIS-370","Jewish History",4,4,7,24
"HIS-372","Jewish-Christian Relations",2,2,6,24
"HIS-374","Gender in Jewish Societies",2,2,5.5,24
"HIS-375","Moses to Jon Stewart",1,1,3,24
"HIS-376","Zionism and Modern Israel",2,2,6.5,24
"HIS-378","Liberation Theology",2,2,7.5,18.5
"HIS-380","Colonial Latin America",1,1,22,24
"HIS-381","Military& Soc in Latin America",1,1,6,25
"HIS-382","Modern Mexico",2,2,13.5,24
"HIS-382","Revolutionary Mexico",1,1,9,24
"HIS-384","Modern Japan",2,2,11.5,24
"HIS-386","Pre-Columbian Mesoamerica",2,2,21,24
"HIS-386","Religions in Latin American",1,1,8,24
"HIS-387","Cuba",1,1,11,25
"HIS-387","Modern Cuba",3,3,21.67,24.67
"HIS-388","Gender & Race in Latin America",2,2,19,24
"HIS-399T","Envr. History of East Asia",1,1,7,24
"HIS-399T","What Is a Chinese Temple?",1,1,6,24
"HIS-399T.2","Tudor England",1,1,24,24
"HIS-399T.5","Modern Tibet",1,1,7,24
"HIS-399T.6","Mexico: City As Place & Hist",1,1,17,20
"HIS-399T.8","What Is a Chinese Temple?",1,1,6,25
"HIS-400","Seminar in Historical Methods",1,1,17,99
"HIS-401","Seminar in Historical Methods",6,6,14.33,28.17
"HIS-470","History Minor Capstone",1,1,12,25
"HIS-470","History Portfolio",7,7,9.43,24.86
"HIS-490","Research Preparation",3,3,9.33,20
"HIS-499T.1","Anglican Missions& Brit Empire",1,1,2,5
"HON-499","Dept. Honors: Psychology",1,1,6,10
"HONORS-.","Biology - Departmental",2,2,2,2
"HSC-399T","Spanish Healthcare Practicum",1,1,12,30
"IND-215","Visual and Performing Arts",1,1,4,40
"IND-301","Transfer Seminar",7,4,12.86,23.57
"IND-305.1","Winter Wilderness Experience",4,4,7.75,21.25
"IND-305.2","Winter Wilderness Experience",3,3,7.67,25
"IND-307.1","London: Art/History/Literature",3,3,15,22.67
"IND-307.2","London: Art/History/Literature",3,3,13.67,22
"IND-312","Paris and Venice: Identities",2,1,17,15
"IND-320","Scotland & Ireland Abroad-Prep",1,1,12,15
"IND-320.1","Scotland & the Lake District",1,1,12,15
"IND-368","The Prison Experience",5,5,24.4,20
"IND-380","Transatlantic Colonial Exp",1,1,13,16
"JOURN-200","Prin & Pract/Journalism:print",3,3,20.67,25
"JOURN-200","Prin& Pract/Journalism:Print",5,5,23.4,25
"JOURN-201","Prin & Pract/Journalsm:visual",5,5,22.8,25
"JOURN-201","Prin& Pract/Journalsm:Visual",2,2,27.5,26
"JOURN-300","Feature Writing",3,3,16.67,16
"JOURN-301","Advanced Editing & Reporting",3,3,20.67,15
"JOURN-400","Senior Project",1,1,6,15
"JOURN-401","Advanced Journalism Practices",3,3,12,16
"JOURN-401","Advanced Journalism Principles",1,1,8,15
"JOURN-401","Senior Project",2,2,12.5,15
"KIN-201","Introduction to Health",4,4,32.75,36.25
"KPHE-100","Varsity Athletics: Baseball",1,1,1,25
"KPHE-100","Varsity Athletics: Basketball",1,1,1,25
"KPHE-100","Varsity Athletics: Football",1,1,2,25
"KPHE-100","Varsity Athletics: Golf",1,1,1,25
"KPHE-100","Varsity Athletics: Skiiing",1,1,1,25
"KPHE-100","Varsity Athletics: Skiing",1,1,5,25
"KPHE-100","Varsity Athletics: Soccer",2,1,2.5,25
"KPHE-100","Varsity Athletics: Softball",2,2,4,25
"KPHE-100","Varsity Athletics: Swimming",3,3,1.67,25
"KPHE-100","Varsity Athletics: Tennis",1,1,1,25
"KPHE-100","Varsity Athletics: Track",1,1,6,25
"KPHE-100","Varsity Athletics: Volleyball",1,1,1,25
"KPHE-100","Varsity Athletics: X-Country",1,1,2,25
"KPHE-100","Varsity Athletics:Golf",1,1,1,25
"KPHE-100","Varsity Athletics:Track&Field",1,1,2,25
"KPHE-100","Varsity Athletics:men's Soccer",1,1,1,25
"KPHE-100","Varsity Baseball",3,3,2.33,25
"KPHE-100","Varsity Basketball",1,1,2,25
"KPHE-100","Varsity Basketball-Men",1,1,2,50
"KPHE-100","Varsity Basketball-Women",1,1,1,50
"KPHE-100","Varsity Cross Country",2,2,4,25
"KPHE-100","Varsity Football",1,1,5,25
"KPHE-100","Varsity Golf",3,3,1,25
"KPHE-100","Varsity Skiing",2,2,3.5,27.5
"KPHE-100","Varsity Soccer-Men",2,2,4,25
"KPHE-100","Varsity Soccer-Mens",1,1,2,25
"KPHE-100","Varsity Soccer-Women",2,2,2,25
"KPHE-100","Varsity Soccer-Womens",1,1,3,25
"KPHE-100","Varsity Softball",2,2,2,25
"KPHE-100","Varsity Swimming",5,5,3,30
"KPHE-100","Varsity Tennis",1,1,5,25
"KPHE-100","Varsity Track",2,2,3,25
"KPHE-100","Varsity Volleyball",2,2,1.5,25
"KPHE-100","Varsity: Women's Basketball",1,1,3,25
"KPHE-100","Varsity:Men's Basketball",1,1,2,25
"KPHE-120","Baseball Conditioning",3,3,2.33,25
"KPHE-120","Basektball-Women Conditionig",2,2,3.5,25
"KPHE-120","Basketball Conditioning-Women",1,1,1,25
"KPHE-120","Basketball-Men Conditioning",2,2,1.5,25
"KPHE-120","Conditioning",1,1,3,25
"KPHE-120","Golf Conditioning",1,1,7,25
"KPHE-120","Skiing Conditioning",2,2,1.5,25
"KPHE-120","Soccer-Men Cond-2nd 6WKS",1,1,3,25
"KPHE-120","Soccer-Women Cond-2nd 6WKS",1,1,3,25
"KPHE-120","Softball Conditioning",3,3,2.67,25
"KPHE-120","Softball Conditioning 1",1,1,1,25
"KPHE-120","Track Conditioning",1,1,10,25
"KPHE-120","Varsity Team Conditioning",1,1,3,25
"KPHE-120","Volleyball Conditioning",2,2,5.5,25
"KPHE-150","Badminton",2,2,19.5,22
"KPHE-150","Beg Archery",2,1,15,14
"KPHE-150","Beg. Scuba Diving-1st 6wks",2,1,8,10
"KPHE-150","Beg. Swimming-1st 6wks",1,1,19,20
"KPHE-150","Beg. Tennis-1st 6wks",1,1,6,12
"KPHE-150","Beg. Trap Shooting-1st 6wks",1,1,11,15
"KPHE-150","Beginning Archery",2,1,15,14
"KPHE-150","Beginning Boxing 1st 6wks",1,1,26,25
"KPHE-150","Beginning Boxing: 1st 6 wks",1,1,20,20
"KPHE-150","Beginning Swimming: 1st 6 wks",1,1,8,25
"KPHE-150","Beginning Tennis: 1st 6 wks",1,1,9,10
"KPHE-150","Beginning Yoga: 1st 6 WKS",1,1,21,20
"KPHE-150","Beginning Yoga: 1st 6 wks",1,1,17,20
"KPHE-150","Body Conditioning",3,1,20,20
"KPHE-150","Body Conditioning 1",2,1,20,20
"KPHE-150","Dance Ballet I",2,2,30.5,32.5
"KPHE-150","Dance Jazz 1: 1st 6 wks",1,1,12,30
"KPHE-150","Dance Jazz II",1,1,21,25
"KPHE-150","Dance Jazz II: 1st 6wks",1,1,11,30
"KPHE-150","Fly Fishing-1st 6 Wks",1,1,10,10
"KPHE-150","Fly Fishing: 1st 6 wks",1,1,7,10
"KPHE-150","Fly Tying",2,2,14,13.5
"KPHE-150","Int Swimming: 1st 6WKS",1,1,16,25
"KPHE-150","Intermediate Swimming",1,1,22,20
"KPHE-150","Intermediate Tennis",1,1,5,10
"KPHE-150","Intermediate Tennis: 1st 6WKS",1,1,7,12
"KPHE-150","Jazz Dance-1st 6 Wks",1,1,11,25
"KPHE-150","Jog/Walk",1,1,30,50
"KPHE-150","Jog/Walk: 1st 6 wks",1,1,10,35
"KPHE-150","Jogging",2,1,43,50
"KPHE-150","Jogging 1st 6wks",1,1,8,40
"KPHE-150","Rock Climbing: 1st 6 wks",3,1,6.33,9
"KPHE-150","Scuba Diving: 1st 6 wks",2,1,4,12
"KPHE-150","Self Defense I Women",2,2,23,25
"KPHE-150","Self Defense for Men I",2,2,17.5,30
"KPHE-150","Self Defense for Women I",2,2,20.5,30
"KPHE-150","Self-Defense Men I: 1st 6 Wks",1,1,7,30
"KPHE-150","Self-Defense Women I -1st 6WKS",1,1,9,25
"KPHE-150","Self-Defense Women I:1st 6 Wks",1,1,13,30
"KPHE-150","Swim Conditioning",1,1,22,25
"KPHE-150","Swim Conditioning I",1,1,23,25
"KPHE-150","Trap Shooting I: 1st 6 wks",1,1,11,15
"KPHE-150","Weight Training",3,2,24.67,25
"KPHE-150.1","Archery-Beginning",2,1,14.5,14
"KPHE-150.13","Rock Climb Level I 1st 6 WKS",2,1,8,9
"KPHE-150.15","Scuba Diving-Begin 1st 6 WKS",2,1,11,15
"KPHE-150.17","SelfDefense Women I 1st 6 WKS",2,2,10,25
"KPHE-150.19","Swimming Beginning 1st 6 WKS",1,1,2,25
"KPHE-150.2","Badminton",1,1,18,18
"KPHE-150.20","Swimming Conditioning",1,1,31,25
